size_kb,seq,random,random_idx
358,1.39178,14.4778,2.27992
359,1.36414,14.5613,2.32064
360,1.35761,14.2297,2.32969
361,1.37702,14.4216,2.3296
362,1.37776,14.5653,2.36757
363,1.51091,14.3168,2.34614
364,1.39228,14.2694,2.33427
365,1.38711,14.6591,2.33059
366,1.38512,14.4137,2.33094
367,1.39207,14.117,2.32011
368,1.37804,14.4366,2.28796
369,1.35652,14.189,2.36712
370,1.42291,14.2566,2.31905
371,1.37751,14.2708,2.2805
372,1.3641,14.2695,2.28409
373,1.35735,14.3438,2.3193
374,1.39234,13.9471,2.33109
375,1.38468,14.4826,2.338
376,1.3858,13.9488,2.34444
377,1.38517,14.4897,2.2873
378,1.35763,14.4262,2.33767
379,1.38522,14.5267,2.33583
380,1.3561,14.2303,2.3366
381,1.37795,14.4147,2.28869
382,1.35674,14.0441,2.37504
383,1.3639,14.288,2.326
384,1.38513,14.4623,2.32892
385,1.37727,14.3493,2.32415
386,1.42301,14.5523,2.3245
387,1.3638,14.6825,2.3507
388,1.37762,14.3931,2.32521
389,1.3804,14.4181,2.29434
390,1.35667,14.3353,2.33725
391,1.36285,14.4593,2.338
392,1.36314,14.4074,2.29102
393,1.35633,14.329,2.42879
394,1.37746,14.0003,2.29062
395,1.35653,14.2365,2.37953
396,1.36304,13.681,2.33789
397,1.45301,14.6743,2.34027
398,1.38669,14.5686,2.3517
399,1.38569,13.7566,2.29729
400,1.35762,14.3706,2.34732
401,1.38001,14.5815,2.33656
402,1.42432,14.2436,2.30014
403,1.3642,14.3211,2.33717
404,1.37869,14.4525,2.34561
405,1.38542,14.6088,2.35925
406,1.39372,14.1623,2.2993
407,1.35886,14.4947,2.33557
408,1.35713,14.5276,2.30612
409,1.35863,14.7829,2.34742
410,1.38533,14.5675,2.38891
411,1.38555,13.5569,2.29767
412,1.36467,13.9592,2.3582
413,1.39433,14.6163,2.30561
414,1.35886,14.2096,2.31233
415,1.35716,14.6245,2.36052
416,1.38625,14.5396,2.37141
417,1.35735,15.0131,2.38579
418,1.38079,14.9434,2.3895
419,1.41861,15.037,2.37479
420,1.41758,14.991,2.42656
421,1.40953,14.6916,2.40443
422,2.74513,15.023,2.37463
423,1.38736,14.5593,2.32015
424,1.36435,14.3891,2.35105
425,1.43177,14.109,2.3046
426,1.35794,14.4044,2.36042
427,1.38704,14.4786,2.3107
428,1.36424,14.2466,2.36204
429,1.44712,14.6444,2.31523
430,1.38651,14.489,2.35907
431,1.36465,14.4059,2.34902
432,1.36529,14.251,2.31206
433,1.38487,14.6345,2.35976
434,1.38659,14.5059,2.31237
435,1.42452,14.7818,2.37645
436,1.39265,14.2433,2.31042
437,1.35792,14.7067,2.32127
438,1.38704,14.0251,2.37666
439,1.36519,14.269,2.3193
440,1.38669,14.1243,2.31738
441,1.38579,14.561,2.36868
442,1.36521,14.5158,2.35589
443,1.37916,14.2553,2.31835
444,1.35758,14.4608,2.3693
445,1.38624,13.8882,2.32305
446,1.35811,13.9972,2.35462
447,1.37929,14.1057,2.31706
448,1.35864,14.2134,2.36938
449,1.38704,14.4521,2.32209
450,1.38578,14.5392,2.36214
451,1.38015,14.5743,2.31979
452,1.35823,14.1979,2.32628
